TemplateName=XCom_Soldier_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_XComSoldier.ARC_Soldier_M,CharacterTemplate=Soldier,PartType=Pawn
TemplateName=XCom_Soldier_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_XComSoldier.ARC_Soldier_F,CharacterTemplate=Soldier,PartType=Pawn
TemplateName=Civilian_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_Civilian.ARC_Civilian_M,CharacterTemplate=Civilian,PartType=Pawn
TemplateName=Civilian_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_Civilian.ARC_Civilian_F,CharacterTemplate=Civilian,PartType=Pawn
TemplateName=HostileCivilian_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_Civilian.ARC_Civilian_M,CharacterTemplate=HostileCivilian,PartType=Pawn
TemplateName=HostileCivilian_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_Civilian.ARC_Civilian_F,CharacterTemplate=HostileCivilian,PartType=Pawn
TemplateName=FacelessCivilian_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_Civilian.ARC_Civilian_M,CharacterTemplate=FacelessCivilian,PartType=Pawn
TemplateName=FacelessCivilian_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_Civilian.ARC_Civilian_F,CharacterTemplate=FacelessCivilian,PartType=Pawn
TemplateName=Engineer_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_Civilian.ARC_Civilian_M,CharacterTemplate=Engineer,PartType=Pawn
TemplateName=Engineer_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_Civilian.ARC_Civilian_F,CharacterTemplate=Engineer,PartType=Pawn
TemplateName=Scientist_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_Civilian.ARC_Civilian_M,CharacterTemplate=Scientist,PartType=Pawn
TemplateName=Scientist_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_Civilian.ARC_Civilian_F,CharacterTemplate=Scientist,PartType=Pawn
TemplateName=FriendlyVIPCivilian_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_Civilian.ARC_Civilian_M,CharacterTemplate=FriendlyVIPCivilian,PartType=Pawn
TemplateName=FriendlyVIPCivilian_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_Civilian.ARC_Civilian_F,CharacterTemplate=FriendlyVIPCivilian,PartType=Pawn
TemplateName=HostileVIPCivilian_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_Civilian.ARC_CivilianHostile_M,CharacterTemplate=HostileVIPCivilian,PartType=Pawn
TemplateName=HostileVIPCivilian_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_Civilian.ARC_CivilianHostile_F,CharacterTemplate=HostileVIPCivilian,PartType=Pawn
TemplateName=XCom_Clerk_M,Gender=EGender.eGender_Male,ArchetypeName=GameUnit_XComSoldier.ARC_Soldier_M,CharacterTemplate=Clerk,PartType=Pawn
TemplateName=XCom_Clerk_F,Gender=EGender.eGender_Female,ArchetypeName=GameUnit_XComSoldier.ARC_Soldier_F,CharacterTemplate=Clerk,PartType=Pawn
TemplateName=Jane_Torso,Gender=EGender.eGender_Female,ArchetypeName=Jane_GD.ARC_Jane_Torso,SpecializedType=true,CharacterTemplate=Soldier,PartType=Torso
TemplateName=Jane_Arms,Gender=EGender.eGender_Female,ArchetypeName=Jane_GD.ARC_Jane_Arms,SpecializedType=true,CharacterTemplate=Soldier,PartType=Arms
TemplateName=Jane_Legs,Gender=EGender.eGender_Female,ArchetypeName=Jane_GD.ARC_Jane_Legs,SpecializedType=true,CharacterTemplate=Soldier,PartType=Legs
TemplateName=Clerk_Std_Torsos_A_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvUnderlay_Std_GD.ARC_SldCnvUnderlay_Std_Full_M,CharacterTemplate=Clerk,PartType=Torso
TemplateName=CnvUnderlay_Std_Torsos_A_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvUnderlay_Std_GD.ARC_SldCnvUnderlay_Std_Torsos_A_M,ArmorTemplate=Underlay,CharacterTemplate=Soldier,PartType=Torso
TemplateName=CnvUnderlay_Std_Arms_A_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvUnderlay_Std_GD.ARC_SldCnvUnderlay_Std_Arms_A_M,ArmorTemplate=Underlay,CharacterTemplate=Soldier,PartType=Arms
TemplateName=CnvUnderlay_Std_Legs_A_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvUnderlay_Std_GD.ARC_SldCnvUnderlay_Std_Legs_A_M,ArmorTemplate=Underlay,CharacterTemplate=Soldier,PartType=Legs
TemplateName=Clerk_Std_A_F,Gender=EGender.eGender_Female,ArchetypeName=SldCnvUnderlay_Std_GD.ARC_SldCnvUnderlay_Std_Full_F,CharacterTemplate=Clerk,PartType=Torso
TemplateName=CnvUnderlay_Std_A_F,Gender=EGender.eGender_Female,ArchetypeName=SldCnvUnderlay_Std_GD.ARC_SldCnvUnderlay_Std_Torsos_A_F,ArmorTemplate=Underlay,CharacterTemplate=Soldier,PartType=Torso
TemplateName=CnvMed_Underlay_A_F,Gender=EGender.eGender_Female,ArchetypeName=SldCnvUnderlay_Std_GD.ARC_SldCnvUnderlay_Std_Arms_A_F,ArmorTemplate=Underlay,CharacterTemplate=Soldier,PartType=Arms
TemplateName=CnvUnderlay_Std_A_F,Gender=EGender.eGender_Female,ArchetypeName=SldCnvUnderlay_Std_GD.ARC_SldCnvUnderlay_Std_Legs_A_F,ArmorTemplate=Underlay,CharacterTemplate=Soldier,PartType=Legs
TemplateName=CnvMed_Std_A_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Torsos_A_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Torso
TemplateName=CnvMed_Std_B_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Torsos_B_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Torso
TemplateName=CnvMed_Std_C_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Torsos_C_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Torso
TemplateName=CnvMed_Std_D_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Torsos_D_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Torso
TemplateName=CnvMed_Std_A_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Arms_A_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Arms
TemplateName=CnvMed_Std_B_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Arms_B_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Arms
TemplateName=CnvMed_Std_C_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Arms_C_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Arms
TemplateName=CnvMed_Std_D_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Arms_D_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Arms
TemplateName=CnvMed_Std_E_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Arms_E_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Arms
TemplateName=CnvMed_Std_F_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Arms_F_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Arms
TemplateName=CnvMed_Std_A_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Legs_A_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Legs
TemplateName=CnvMed_Std_B_M,Gender=EGender.eGender_Male,ArchetypeName=SldCnvMed_Std_GD.ARC_SldCnvMed_Std_Legs_B_M,ArmorTemplate=KevlarArmor,CharacterTemplate=Soldier,PartType=Legs
